"Temple ID","Name","Registration Number","Grade","Primary Deity","Tradition","District ID","Temple Status","Trust Registered","Pending Declarations","Overdue Declarations"
"33","Sri Trivikrama Kshetra","","B","","VAISHNAVITE","1","ACTIVE","true","0","0"
"34","Sri Madhava Mandir","","B","","VAISHNAVITE","1","ACTIVE","true","0","0"
"35","Sri Chamundeshwari Pranadharana Temple","","B","","SHAKTA","1","ACTIVE","false","0","0"
"36","Sri Durgadevi Temple","","C","","SHAKTA","1","ACTIVE","true","0","0"
"37","Sri Annapurneshwari Swamy Temple","","C","","SHAKTA","1","ACTIVE","true","0","0"
"38","Sri Parshwanatha Devasthana","","C","","JAIN","1","ACTIVE","false","0","0"
"39","Sri Ganesha Kshetra","","C","","OTHER","1","ACTIVE","true","0","0"
"40","Sri Shiva Mandir","","A","","SHAIVITE","1","ACTIVE","true","0","0"
"41","Sri Siddeshwara Swamy Temple","","A","","SHAIVITE","1","ACTIVE","false","0","0"
"42","Sri Veerabhadra Swamy Temple","","B","","SHAIVITE","1","ACTIVE","true","0","0"
"43","Sri Someshwara Swamy Temple","","B","","SHAIVITE","1","ACTIVE","true","0","0"
"44","Sri Mallikarjuna Swamy Devasthana","","B","","SHAIVITE","1","ACTIVE","false","0","0"
"45","Sri Brahmeswara Kshetra","","B","","SHAIVITE","1","ACTIVE","true","0","0"
"46","Sri Parameswara Mandir","","C","","SHAIVITE","1","ACTIVE","true","0","0"
"47","Sri Ishwara Pranadharana Temple","","C","","SHAIVITE","1","ACTIVE","false","0","0"
"48","Sri Venkateswara Temple","","C","","VAISHNAVITE","1","ACTIVE","true","0","0"
"49","Sri Ranganatha Swamy Swamy Temple","","C","","VAISHNAVITE","1","ACTIVE","true","0","0"
"50","Sri Narayana Devasthana","","A","","VAISHNAVITE","1","ACTIVE","false","0","0"
"51","Sri Kesava Kshetra","","A","","VAISHNAVITE","1","ACTIVE","true","0","0"
"52","Sri Lakshmi Narasimha Mandir","","B","","VAISHNAVITE","1","ACTIVE","true","0","0"
"53","Sri Trivikrama Pranadharana Temple","","B","","VAISHNAVITE","1","ACTIVE","false","0","0"
"54","Sri Madhava Temple","","B","","VAISHNAVITE","1","ACTIVE","true","0","0"
"55","Sri Chamundeshwari Swamy Temple","","B","","SHAKTA","1","ACTIVE","true","0","0"
"56","Sri Durgadevi Devasthana","","C","","SHAKTA","1","ACTIVE","false","0","0"
"57","Sri Annapurneshwari Kshetra","","C","","SHAKTA","1","ACTIVE","true","0","0"
"58","Sri Parshwanatha Mandir","","C","","JAIN","1","ACTIVE","true","0","0"
"59","Sri Ganesha Pranadharana Temple","","C","","OTHER","1","ACTIVE","false","0","0"
"60","Sri Shiva Temple","","A","","SHAIVITE","1","ACTIVE","true","0","0"
"61","Sri Siddeshwara Swamy Temple","","A","","SHAIVITE","1","ACTIVE","true","0","0"
"62","Sri Veerabhadra Swamy Devasthana","","B","","SHAIVITE","1","ACTIVE","false","0","0"
"63","Sri Someshwara Kshetra","","B","","SHAIVITE","1","ACTIVE","true","0","0"
"64","Sri Mallikarjuna Swamy Mandir","","B","","SHAIVITE","1","ACTIVE","true","0","0"
"65","Sri Brahmeswara Pranadharana Temple","","B","","SHAIVITE","1","ACTIVE","false","0","0"
"66","Sri Parameswara Temple","","C","","SHAIVITE","1","ACTIVE","true","0","0"
"67","Sri Ishwara Swamy Temple","","C","","SHAIVITE","1","ACTIVE","true","0","0"
"68","Sri Venkateswara Devasthana","","C","","VAISHNAVITE","1","ACTIVE","false","0","0"
"69","Sri Ranganatha Swamy Kshetra","","C","","VAISHNAVITE","1","ACTIVE","true","0","0"
"70","Sri Narayana Mandir","","A","","VAISHNAVITE","1","ACTIVE","true","0","0"
"71","Sri Kesava Pranadharana Temple","","A","","VAISHNAVITE","1","ACTIVE","false","0","0"
"72","Sri Lakshmi Narasimha Temple","","B","","VAISHNAVITE","1","ACTIVE","true","0","0"
"73","Sri Trivikrama Swamy Temple","","B","","VAISHNAVITE","1","ACTIVE","true","0","0"
"74","Sri Madhava Devasthana","","B","","VAISHNAVITE","1","ACTIVE","false","0","0"
"75","Sri Chamundeshwari Kshetra","","B","","SHAKTA","1","ACTIVE","true","0","0"
"76","Sri Durgadevi Mandir","","C","","SHAKTA","1","ACTIVE","true","0","0"
"77","Sri Annapurneshwari Pranadharana Temple","","C","","SHAKTA","1","ACTIVE","false","0","0"
"78","Sri Parshwanatha Temple","","C","","JAIN","1","ACTIVE","true","0","0"
"79","Sri Ganesha Swamy Temple","","C","","OTHER","1","ACTIVE","true","0","0"
"80","Sri Shiva Devasthana","","A","","SHAIVITE","1","ACTIVE","false","0","0"
"81","Sri Siddeshwara Swamy Temple","","A","","SHAIVITE","1","ACTIVE","true","0","0"
"82","Sri Veerabhadra Swamy Mandir","","B","","SHAIVITE","1","ACTIVE","true","0","0"
"83","Sri Someshwara Pranadharana Temple","","B","","SHAIVITE","1","ACTIVE","false","0","0"
"84","Sri Mallikarjuna Swamy Temple","","B","","SHAIVITE","1","ACTIVE","true","0","0"
"85","Sri Brahmeswara Swamy Temple","","B","","SHAIVITE","1","ACTIVE","true","0","0"
"86","Sri Parameswara Devasthana","","C","","SHAIVITE","1","ACTIVE","false","0","0"
"87","Sri Ishwara Kshetra","","C","","SHAIVITE","1","ACTIVE","true","0","0"
"88","Sri Venkateswara Mandir","","C","","VAISHNAVITE","1","ACTIVE","true","0","0"
"89","Sri Ranganatha Swamy Pranadharana Temple","","C","","VAISHNAVITE","1","ACTIVE","false","0","0"
"90","Sri Narayana Temple","","A","","VAISHNAVITE","1","ACTIVE","true","0","0"
"91","Sri Kesava Swamy Temple","","A","","VAISHNAVITE","1","ACTIVE","true","0","0"
"92","Sri Lakshmi Narasimha Devasthana","","B","","VAISHNAVITE","1","ACTIVE","false","0","0"
"93","Sri Trivikrama Kshetra","","B","","VAISHNAVITE","1","ACTIVE","true","0","0"
"94","Sri Madhava Mandir","","B","","VAISHNAVITE","1","ACTIVE","true","0","0"
"95","Sri Chamundeshwari Pranadharana Temple","","B","","SHAKTA","1","ACTIVE","false","0","0"
"96","Sri Durgadevi Temple","","C","","SHAKTA","1","ACTIVE","true","0","0"
"97","Sri Annapurneshwari Swamy Temple","","C","","SHAKTA","1","ACTIVE","true","0","0"
"98","Sri Parshwanatha Devasthana","","C","","JAIN","1","ACTIVE","false","0","0"
"99","Sri Ganesha Kshetra","","C","","OTHER","1","ACTIVE","true","0","0"
"100","Sri Shiva Mandir","","A","","SHAIVITE","1","ACTIVE","true","0","0"
"30261","Sri Venkateswara Ranganatha Devasthana","TMP-KA-000761","A","Venkateswara","VAISHNAVITE","1","ACTIVE","true","1","0"
"30262","Sri Ranganatha Swamy Venkataramana Kshetra","TMP-KA-000762","B","Ranganatha Swamy","VAISHNAVITE","1","ACTIVE","true","1","0"
"30263","Sri Narayana Srinivasa Mandir","TMP-KA-000763","B","Narayana","VAISHNAVITE","1","ACTIVE","false","1","0"
"30264","Sri Kesava Bhavani Swamy Temple","TMP-KA-000764","B","Kesava","VAISHNAVITE","1","ACTIVE","true","1","0"
"30265","Sri Lakshmi Narasimha Mallinatha Temple","TMP-KA-000765","B","Lakshmi Narasimha","VAISHNAVITE","1","ACTIVE","true","0","0"
"30266","Sri Trivikrama Tirumala Devasthana","TMP-KA-000766","C","Trivikrama","VAISHNAVITE","1","ACTIVE","false","1","0"
"30267","Sri Madhava Nageshwara Kshetra","TMP-KA-000767","C","Madhava","VAISHNAVITE","1","ACTIVE","true","0","0"
"30268","Sri Chamundeshwari Veereshwara Mandir","TMP-KA-000768","C","Chamundeshwari","SHAKTA","1","ACTIVE","true","0","0"
"30269","Sri Durgadevi Basaveshwara Swamy Temple","TMP-KA-000769","C","Durgadevi","SHAKTA","1","ACTIVE","false","0","0"
"30270","Sri Annapurneshwari Chamundi Temple","TMP-KA-000770","A","Annapurneshwari","SHAKTA","1","ACTIVE","true","0","0"
"30271","Sri Parshwanatha Ranganatha Devasthana","TMP-KA-000771","A","Parshwanatha","JAIN","1","ACTIVE","true","1","0"
"30272","Sri Ganesha Venkataramana Kshetra","TMP-KA-000772","B","Ganesha","OTHER","1","ACTIVE","false","1","0"
"30273","Sri Shiva Srinivasa Mandir","TMP-KA-000773","B","Shiva","SHAIVITE","1","ACTIVE","true","1","0"
"30274","Sri Siddeshwara Swamy Bhavani Swamy Temple","TMP-KA-000774","B","Siddeshwara Swamy","SHAIVITE","1","ACTIVE","true","1","0"
"30275","Sri Veerabhadra Swamy Mallinatha Temple","TMP-KA-000775","B","Veerabhadra Swamy","SHAIVITE","1","ACTIVE","false","0","0"
"30276","Sri Someshwara Tirumala Devasthana","TMP-KA-000776","C","Someshwara","SHAIVITE","1","ACTIVE","true","1","0"
"30277","Sri Mallikarjuna Swamy Nageshwara Kshetra","TMP-KA-000777","C","Mallikarjuna Swamy","SHAIVITE","1","ACTIVE","true","0","0"
"30278","Sri Brahmeswara Veereshwara Mandir","TMP-KA-000778","C","Brahmeswara","SHAIVITE","1","ACTIVE","false","0","0"
"30279","Sri Parameswara Basaveshwara Swamy Temple","TMP-KA-000779","C","Parameswara","SHAIVITE","1","ACTIVE","true","0","0"
"30280","Sri Ishwara Chamundi Temple","TMP-KA-000780","A","Ishwara","SHAIVITE","1","ACTIVE","true","0","0"
"30281","Sri Venkateswara Ranganatha Devasthana","TMP-KA-000781","A","Venkateswara","VAISHNAVITE","1","ACTIVE","false","1","0"
"30282","Sri Ranganatha Swamy Venkataramana Kshetra","TMP-KA-000782","B","Ranganatha Swamy","VAISHNAVITE","1","ACTIVE","true","1","0"
"30283","Sri Narayana Srinivasa Mandir","TMP-KA-000783","B","Narayana","VAISHNAVITE","1","ACTIVE","true","1","0"
"30284","Sri Kesava Bhavani Swamy Temple","TMP-KA-000784","B","Kesava","VAISHNAVITE","1","ACTIVE","false","1","0"
"30285","Sri Lakshmi Narasimha Mallinatha Temple","TMP-KA-000785","B","Lakshmi Narasimha","VAISHNAVITE","1","ACTIVE","true","0","0"
"30286","Sri Trivikrama Tirumala Devasthana","TMP-KA-000786","C","Trivikrama","VAISHNAVITE","1","ACTIVE","true","1","0"
"30287","Sri Madhava Nageshwara Kshetra","TMP-KA-000787","C","Madhava","VAISHNAVITE","1","ACTIVE","false","0","0"
"30288","Sri Chamundeshwari Veereshwara Mandir","TMP-KA-000788","C","Chamundeshwari","SHAKTA","1","ACTIVE","true","0","0"
"30289","Sri Durgadevi Basaveshwara Swamy Temple","TMP-KA-000789","C","Durgadevi","SHAKTA","1","ACTIVE","true","0","0"
"30290","Sri Annapurneshwari Chamundi Temple","TMP-KA-000790","A","Annapurneshwari","SHAKTA","1","ACTIVE","false","0","0"
